Ion = Lithium     , Mass = 7.016
Tgt =  C (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
3.786E-01   1.701E+00  7.892E+00 
3.861E-01   1.717E+00  7.911E+00 
3.939E-01   1.735E+00  7.929E+00 
4.017E-01   1.752E+00  7.947E+00 
4.098E-01   1.769E+00  7.964E+00 
4.180E-01   1.787E+00  7.981E+00 
4.263E-01   1.805E+00  7.997E+00 
4.349E-01   1.823E+00  8.013E+00 
4.436E-01   1.841E+00  8.028E+00 
4.524E-01   1.859E+00  8.043E+00 
4.615E-01   1.878E+00  8.058E+00 
4.707E-01   1.896E+00  8.072E+00 
4.801E-01   1.915E+00  8.085E+00 
4.897E-01   1.934E+00  8.098E+00 
4.995E-01   1.953E+00  8.110E+00 
5.095E-01   1.973E+00  8.122E+00 
5.197E-01   1.992E+00  8.134E+00 
5.301E-01   2.012E+00  8.144E+00 
5.407E-01   2.032E+00  8.155E+00 
5.515E-01   2.053E+00  8.164E+00 
5.625E-01   2.073E+00  8.174E+00 
5.738E-01   2.094E+00  8.182E+00 
5.853E-01   2.114E+00  8.190E+00 
5.970E-01   2.135E+00  8.198E+00 
6.089E-01   2.157E+00  8.205E+00 
6.211E-01   2.178E+00  8.211E+00 
6.335E-01   2.200E+00  8.217E+00 
6.462E-01   2.222E+00  8.223E+00 
6.591E-01   2.244E+00  8.227E+00 
6.723E-01   2.266E+00  8.232E+00 
6.857E-01   2.289E+00  8.235E+00 
6.995E-01   2.312E+00  8.238E+00 
7.134E-01   2.335E+00  8.240E+00 
7.277E-01   2.358E+00  8.242E+00 
7.423E-01   2.381E+00  8.243E+00 
7.571E-01   2.405E+00  8.244E+00 
7.723E-01   2.429E+00  8.244E+00 
7.877E-01   2.453E+00  8.243E+00 
8.035E-01   2.477E+00  8.242E+00 
8.195E-01   2.502E+00  8.240E+00 
8.359E-01   2.527E+00  8.238E+00 
8.526E-01   2.552E+00  8.235E+00 
8.697E-01   2.577E+00  8.231E+00 
8.871E-01   2.603E+00  8.227E+00 
9.048E-01   2.629E+00  8.222E+00 
9.229E-01   2.655E+00  8.217E+00 
9.414E-01   2.682E+00  8.211E+00 
9.602E-01   2.708E+00  8.204E+00 
9.794E-01   2.735E+00  8.197E+00 
9.990E-01   2.762E+00  8.189E+00 
1.019E+00   2.790E+00  8.180E+00 
1.039E+00   2.818E+00  8.171E+00 
1.060E+00   2.846E+00  8.161E+00 
1.081E+00   2.874E+00  8.150E+00 
1.103E+00   2.903E+00  8.139E+00 
1.125E+00   2.932E+00  8.128E+00 
1.148E+00   2.961E+00  8.115E+00 
1.170E+00   2.990E+00  8.102E+00 
1.194E+00   3.020E+00  8.089E+00 
1.218E+00   3.050E+00  8.074E+00 
